"sp1" "sp2" "complete" "sympatric" "Genetic.Distance..Nei.s.D." "Premating.Isol." "Postm..Prez..Isolation" "Postzygotic.Isolation..Complete." "Postzygotic.Isolation..Partial." "Prem..Assymetry....0.25.weak..0.25.0.5.moderate..0.5.0.75.strong..0.75..extreme." "Prem...sp.1.fem..X.sp.2.males.." "Prem...sp.1.males.X.sp.2.fem..." "Postm..Prez..Assymetry" "Postm..Prez...sp..1.fem..x.sp.2.males." "Postm..Prez...sp.1.males.X.sp.2.fem..." "Postz..Assymetry" "Postz...sp..1.fem..x.sp.2.males." "Postz...sp.1.males.X.sp.2.fem..." "Postz..hybrid.fitness..cross.1.male..fem..cross2.male..fem.." "Pre.Symp." "Pre.Allop." "absolute.range..sp.1....in.square.km" "absolute.range..sp.2.." "relative.range.size..sp.1." "relative.range.size..sp.2." "natural.hybridization..No...0..Yes...1." "Habitat.and.other.details..sp1.sp2." "References" "mating.test.type" "sp.1.matings" "sp.1.fem..X.sp.2.males" "sp.1.males.X.sp.2.fem." "sp.2.matings" "Notes.about.matings"
"persimilis" "pseudoobscura USA" "1" "1" "0.41" "0.78504264614104424" NA "0.5" "0.5" "0.23969211566465565" "0.90488870397337218" "0.66519658830871653" NA NA NA "0" "0.5" "0.5" "sterile, fertile/sterile, fertile" "0.86274509803921573" "0.884858044164038" "624127" "4869262" "0.113614200632797" "0.886385799367203" "1" "moist and cool+higher elevation+morning visits/dry and warm habitats +lower elevation+evening visits" "Mayr and Dobzhansky 1945; Mayr 1946; Dobzhansky et al. 1968;  Anderson and Kim 2005" NA "0.60724999999999996" NA "0.20117499999999999" "0.59450000000000003" "females are the choosy sex, males of both species court randomly: Noor et al 2009, Dobzhansky, Merrell"
"persimilis" "pseudoobscura Bogota" NA "0" NA "0.86619718309859151" NA NA NA NA "0.85915492957746475" "0.87323943661971826" NA NA NA NA NA NA "?" NA NA "624127" "19625" "0.969514657818539" "0.0304853421814612" "0" NA NA NA "0.36335403726708076" NA NA "0.51863354037267084" NA
"pseudoobscura Bogota" "pseudoobscura USA" "1" "0" "0.19400000000000001" "0.22222222222222221" NA "0.25" "0.25" NA "0.23232323232323226" "0.21212121212121215" NA NA NA "0.5" "0.5" "0" "sterile, fertile/fertile, fertile" NA NA "19625" "4869262" "0.00401420609639781" "0.995985793903602" "0" "generalist forest habitat lower elevation/higher elevation habitats" "Ayala and Dobzhansky 1974; Prakash 1972" NA "0.22159090909090909" "0.21590909090909091" "0.22159090909090909" "0.34090909090909088" "author's conclusion based on intraspecific comparisons is that there is random mating"
"bifasciata Europe" "bifasciata Japan" NA "0" "0.32599999999999996" NA NA "0" "0" NA NA NA NA NA NA "0" "0" "0" "fertile, fertile/fertile, fertile" NA NA "21779987" "490302" "0.97798403065178" "0.02201596934822" NA NA "Dobzhansky et al. 1968;  Lakovaara et al. 1976; Watabe et al. 1997 * D was averaged over the last 2 references; Lakovaara and Saura 1982" NA NA NA NA NA NA
"imaii" "bifasciata Japan" NA "1" "0.42949999999999999" "0.96357615894039739" NA NA "?" NA "0.9701986754966887" "0.95695364238410596" NA NA NA NA NA NA "?" NA NA "101592" "490302" "0.171638840738375" "0.828361159261625" NA NA "Dobzhansky et al. 1968;  Lakovaara et al. 1976; Watabe et al. 1997 * D was averaged over the last 2 references; Lakovaara and Saura 1982" NA "0.59904153354632583" NA NA "0.36581469648562298" NA
"imaii" "subobscura" NA "0" "1.125" "0.97014925373134331" NA NA NA NA "0.95024875621890548" "0.99004975124378114" NA NA NA NA NA NA "?" NA NA "101592" "11771198" "0.00855670823791207" "0.991443291762088" NA NA "Dobzhansky et al. 1968;  Lakovaara et al. 1976; Watabe et al. 1997 * D was averaged over the last 2 references; Lakovaara and Saura 1982" NA "0.68599033816425126" NA NA "0.28502415458937197" NA
"subobscura" "bifasciata Japan" NA "0" "1.33" "0.93478260869565222" NA NA NA NA "0.93788819875776397" "0.93167701863354035" NA NA NA NA NA NA "none/none" NA NA "11771198" "490302" "0.960012885862252" "0.0399871141377482" "0" NA "Dobzhansky et al. 1968;  Lakovaara et al. 1976; Watabe et al. 1997 * D was averaged over the last 2 references; Lakovaara and Saura 1982" NA "0.45481049562682213" NA NA "0.48396501457725949" NA
"subobscura" "madeirensis" NA "1" "0.43999999999999995" NA NA NA "0.5" NA NA NA NA NA NA NA NA "0.5" "none/sterile, fertile" NA NA "11771198" "772" "0.999934420492067" NA NA "generalist forest/laurisilva island forest" "Dobzhansky et al. 1968;  Lakovaara et al. 1976; Watabe et al. 1997; Monclus 1984; Laukas et al. 1984; Khadem and Krimbas 1991 * D was averaged over the last 2 references; Lakovaara and Saura 1982" NA NA NA NA NA NA
"subobscura" "guanche" NA "1" "0.6825" NA NA NA NA NA NA NA NA NA NA NA NA NA "?" NA NA "11771198" "12345" "0.998952352446119" "0.00104764755388087" NA "generalist forest/laurisilva island forest" "Dobzhansky et al. 1968;  Lakovaara et al. 1976; Watabe et al. 1997; Monclus 1984; Laukas et al. 1984  * D was averaged over the last 2 references; Lakovaara and Saura 1982" NA NA NA NA NA NA
"subobscura" "ambigua" NA "1" "1.44" "0.92956926658905703" NA NA NA "0.14086146682188594" "1" "0.85913853317811406" NA NA NA NA NA NA "none/none" NA NA "11771198" "4070172" "0.743066919085912" "0.256933080914088" NA NA " Watabe 1997; Lakovaara et al. 1976; Watabe et al. 1997; * D was averaged over the last 2 references; Lakovaara and Saura 1982" NA "0.90300000000000002" "0" "0.121" "0.81499999999999995" NA
